Synonyms,Glossary,Synset in hierarchy,,,,,,Label,Familiar,UnfamiliarANDunsure,Notes
hand_tool,a tool used with workers' hands,"[Synset('hand_tool.n.01'),",,,,,,h,y,,
awl,a pointed tool for marking surfaces or for punching small holes,,"[Synset('awl.n.01'),",,,,,b,y,,
bradawl pricker,an awl for making small holes for brads or small screws,,,"[Synset('bradawl.n.01')],",,,,l,n,,
scriber scribe scratch_awl,a sharp-pointed awl for marking wood or metal to be cut,,,"[Synset('scriber.n.01')]],",,,,l,n,,
bevel bevel_square,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size,,"[Synset('bevel.n.02')],",,,,,b,n,,
bodkin,a small sharp-pointed tool for punching holes in leather or fabric,,"[Synset('bodkin.n.03')],",,,,,l,n,,type of awl?
bodkin threader,a blunt needle for threading ribbon through loops,,"[Synset('bodkin.n.04')],",,,,,l,n,,type of needle
crank starter,a hand tool consisting of a rotating shaft with parallel handle,,"[Synset('crank.n.04'),",,,,,b,y,,
crank_handle starting_handle,crank used to start an engine,,,"[Synset('crank_handle.n.01')]],",,,,l,n,,
dibble dibber,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs,,"[Synset('dibble.n.01')],",,,,,b,n,,
file,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,,"[Synset('file.n.04'),",,,,,b,y,,
blunt_file,a file with parallel edges,,,"[Synset('blunt_file.n.01')],",,,,l,y,,
flat_file,a file with two flat surfaces,,,"[Synset('flat_file.n.01')],",,,,l,y,,
nailfile,a small flat file for shaping the nails,,,"[Synset('nailfile.n.01')],",,,,l,y,,
rasp wood_file,a coarse file with sharp pointed projections,,,"[Synset('rasp.n.02')],",,,,l,y,,
rat-tail_file,a thin round file shaped like the tail of a rat,,,"[Synset('rat-tail_file.n.01')],",,,,l,y,,
round_file,a file with a circular cross section; used to file the inside of holes,,,"[Synset('round_file.n.01')],",,,,l,y,,
taper_file,a file with converging edges,,,"[Synset('taper_file.n.01')]],",,,,l,y,,
float plasterer's_float,a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco,,"[Synset('float.n.05')],",,,,,b,y,,
graver graving_tool pointel pointrel,a tool used by an engraver,,"[Synset('graver.n.01'),",,,,,b,n,x,
scauper scorper,a graver used to scoop out broad areas when engraving wood or metal,,,"[Synset('scauper.n.01')]],",,,,l,n,x,
gutter,a tool for gutting fish,,"[Synset('gutter.n.04')],",,,,,b,n,x,
hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,,"[Synset('hammer.n.02'),",,,,,b,y,,
ball-peen_hammer,a hammer with one round and one flat end; used in working metal,,,"[Synset('ball-peen_hammer.n.01')],",,,,l,y,,
bricklayer's_hammer,a hammer used in laying bricks,,,"[Synset('bricklayer's_hammer.n.01')],",,,,l,y,,
carpenter's_hammer claw_hammer clawhammer,a hammer with a cleft at one end for pulling nails,,,"[Synset('carpenter's_hammer.n.01')],",,,,l,y,,
mallet beetle,a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing,,,"[Synset('mallet.n.03'),",,,,l,y,,
carpenter's_mallet,a short-handled mallet with a wooden head used to strike a chisel or wedge,,,,"[Synset('carpenter's_mallet.n.01')],",,,l,y,,
gavel,a small mallet used by a presiding officer or a judge,,,,"[Synset('gavel.n.01')]],",,,l,y,,
maul sledge sledgehammer,a heavy long-handled hammer used to drive stakes or wedges,,,"[Synset('maul.n.01')],",,,,l,y,,
