Synonyms,Glossary,Synset in hierarchy,,,,,,Label,Ori,Familiar,UnfamiliarANDunsure,Notes
hand_tool,a tool used with workers' hands,"[Synset('hand_tool.n.01'),",,,,,,h,,,,
awl,a pointed tool for marking surfaces or for punching small holes,,"[Synset('awl.n.01'),",,,,,b,,,,Googled and all images looked alike 
bradawl pricker,an awl for making small holes for brads or small screws,,,"[Synset('bradawl.n.01')],",,,,l,,,,
scriber scribe scratch_awl,a sharp-pointed awl for marking wood or metal to be cut,,,"[Synset('scriber.n.01')]],",,,,l,,,,
bevel bevel_square,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size,,"[Synset('bevel.n.02')],",,,,,b,,,,Googled bevel square and images looked alike
bodkin,a small sharp-pointed tool for punching holes in leather or fabric,,"[Synset('bodkin.n.03')],",,,,,b,,,,
bodkin threader,a blunt needle for threading ribbon through loops,,"[Synset('bodkin.n.04')],",,,,,l,,,,
crank starter,a hand tool consisting of a rotating shaft with parallel handle,,"[Synset('crank.n.04'),",,,,,h,,,,
crank_handle starting_handle,crank used to start an engine,,,"[Synset('crank_handle.n.01')]],",,,,b,,,,
dibble dibber,a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs,,"[Synset('dibble.n.01')],",,,,,l,,,,Seems lower than awl as it is for soil but the movement would be the same so I am getting unsure
file,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,,"[Synset('file.n.04'),",,,,,b,,,,
blunt_file,a file with parallel edges,,,"[Synset('blunt_file.n.01')],",,,,l,,,,
flat_file,a file with two flat surfaces,,,"[Synset('flat_file.n.01')],",,,,l,,,,
nailfile,a small flat file for shaping the nails,,,"[Synset('nailfile.n.01')],",,,,l,,,,"I wanted to say basic but just because I use this tool, however since the movement is similar for files I chose file to be basic level"
rasp wood_file,a coarse file with sharp pointed projections,,,"[Synset('rasp.n.02')],",,,,l,,,,
rat-tail_file,a thin round file shaped like the tail of a rat,,,"[Synset('rat-tail_file.n.01')],",,,,l,,,,
round_file,a file with a circular cross section; used to file the inside of holes,,,"[Synset('round_file.n.01')],",,,,l,,,,
taper_file,a file with converging edges,,,"[Synset('taper_file.n.01')]],",,,,l,,,,
float plasterer's_float,a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco,,"[Synset('float.n.05')],",,,,,b,,,,Googled and all look alike
graver graving_tool pointel pointrel,a tool used by an engraver,,"[Synset('graver.n.01'),",,,,,b,,,,Googled and all look alike
scauper scorper,a graver used to scoop out broad areas when engraving wood or metal,,,"[Synset('scauper.n.01')]],",,,,l,,,,
gutter,a tool for gutting fish,,"[Synset('gutter.n.04')],",,,,,b,,,,
hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,,"[Synset('hammer.n.02'),",,,,,b,,,,
ball-peen_hammer,a hammer with one round and one flat end; used in working metal,,,"[Synset('ball-peen_hammer.n.01')],",,,,l,,,,
bricklayer's_hammer,a hammer used in laying bricks,,,"[Synset('bricklayer's_hammer.n.01')],",,,,l,,,,
carpenter's_hammer claw_hammer clawhammer,a hammer with a cleft at one end for pulling nails,,,"[Synset('carpenter's_hammer.n.01')],",,,,l,,,,
mallet beetle,a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing,,,"[Synset('mallet.n.03'),",,,,b,,,,Hesitated with this one between b and l because of gavel context coming up later decided b
carpenter's_mallet,a short-handled mallet with a wooden head used to strike a chisel or wedge,,,,"[Synset('carpenter's_mallet.n.01')],",,,l,,,,
